instrument_id,instrument_name,instrument_price,instrument_material,instrument_type,instrument_brand,instrument_img
1314,CASCHA CGA300,31000,Дуб,Акустические гитары,CASCHA,https://www.muztorg.ru/files/sized/f250x250/f0m/pxc/8by/40s/8gc/s08/wsw/888/f0mpxc8by40s8gcs08wsw8880.jpg
1315,NG DAWN-E N1 NA,15400,Липа,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/2ge/9vp/hih/v8k/w0o/soc/4ks/kgw/4/2ge9vphihv8kw0osoc4kskgw4.jpg
1316,NG MINI 1E,36000,Яблоня,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/fig/waj/dhn/ncw/owg/k8w/g40/csk/figwajdhnncwowgk8wg40csk.jpg
1317,NG RM411SC,55000,Яблоня,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/b1x/xhv/32s/ow0/o4k/sog/4oo/wo0/4/b1xxhv32sow0o4ksog4oowo04.jpg
1318,NG MINI 1,33000,Яблоня,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/fig/waj/dhn/ncw/owg/k8w/g40/csk/figwajdhnncwowgk8wg40csk.jpg
1319,NG DM411SC Peach,33000,Липа,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/1x0/eeq/8wa/lwk/ws8/4gk/ko8/44w/w/1x0eeq8walwkws84gkko844ww.jpg
1320,NG AM411SC Peach,33000,Клен,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/2ug/4s3/702/rgg/804/k8o/sc4/wso/2ug4s3702rgg804k8osc4wso0.jpg
1321,NG RM411SCE,58000,Яблоня,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/b1x/xhv/32s/ow0/o4k/sog/4oo/wo0/4/b1xxhv32sow0o4ksog4oowo04.jpg
1322,NG JM-800,59000,Липа,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/5f4/9xl/4l4/2gw/ogo/oo8/s8o/4og/5f49xl4l42gwogooo8s8o4og0.jpg
1323,NG DM411SC NA,33000,Ольха,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/6wg/qn8/klh/xk4/kgk/0o4/g08/w4s/c/6wgqn8klhxk4kgk0o4g08w4sc.jpg
1324,NG AM411SC NA,33000,Махонь,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/er1/k5r/yza/vc4/084/ok0/kgk/oww/w/er1k5ryzavc4084ok0kgkowww.jpg
1325,NG AM411SCE NA,36000,Орех,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/er1/k5r/yza/vc4/084/ok0/kgk/oww/w/er1k5ryzavc4084ok0kgkowww.jpg
1326,NG JM-800 E,62000,Липа,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/5f4/9xl/4l4/2gw/ogo/oo8/s8o/4og/5f49xl4l42gwogooo8s8o4og0.jpg
1327,NG GM411SC NA,33000,Клен,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/dsz/br6/f6d/88w/ccg/8oo/4g4/cwc/s/dszbr6f6d88wccg8oo4g4cwcs.jpg
1328,NG GT600 NA,11500,Береза,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/443/94i/zdq/so4/sg4/004/o8w/0kw/g/44394izdqso4sg4004o8w0kwg.jpg
1329,NG GM411SCE NA,36000,Береза,Акустические гитары,NG,https://www.muztorg.ru/files/sized/f250x250/dsz/br6/f6d/88w/ccg/8oo/4g4/cwc/s/dszbr6f6d88wccg8oo4g4cwcs.jpg
1330,Framus FF 14 M NS,29990,Яблоня,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/4hn/1in/7bb/hus/w8s/gkg/kgk/csc/4hn1in7bbhusw8sgkgkgkcsc0.jpg
1331,Framus FG 14 SV VNT,37990,Клен,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/8nf/ye2/sy6/o00/k8k/80o/44c/4sc/g/8nfye2sy6o00k8k80o44c4scg.jpg
1332,Framus FD 14 M NS,29990,Сосна,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/6qm/epb/cyu/rcw/0sc/0g8/gg0/40w/8/6qmepbcyurcw0sc0g8gg040w8.jpg
1333,Framus FJ 14 M NS,29990,Махонь,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/5g2/9xe/fcn/58o/4kw/wwo/0oo/ks4/8/5g29xefcn58o4kwwwo0ooks48.jpg
1334,Framus FD 14 SV VNT SALE,37990,Клен,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/4m2/hhb/jtg/0w0/cog/o8k/s8c/084/w/4m2hhbjtg0w0cogo8ks8c084w.jpg
1335,Framus FG 14 M CP NS,36990,Орех,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/clo/sl9/tmd/pck/sw0/k4g/wk4/c0g/closl9tmdpcksw0k4gwk4c0g0.jpg
1336,Framus FD 14 M CP NS,36990,Ольха,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/8th/hd6/fzv/jks/sc0/8ko/8gg/0oc/s/8thhd6fzvjkssc08ko8gg0ocs.jpg
1337,Framus FD 14 S BK CE 12,37990,Пластик,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/96t/wpm/zw7/688/g08/w8o/0oc/s8c/o/96twpmzw7688g08w8o0ocs8co.jpg
1338,Framus FJ 14 M NS CP,32990,Махонь,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/9we/14w/du4/1s0/s8s/40g/80o/0kw/4/9we14wdu41s0s8s40g80o0kw4.jpg
1339,Framus FD 14 S BK CE,32990,Яблоня,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/ed4/tk3/yhd/340/4s0/4w8/0kk/84w/8/ed4tk3yhd3404s04w80kk84w8.jpg
1340,Framus FD 14 M VS CE,32990,Орех,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/bha/fqe/pjh/qg4/ggc/g84/sw0/g0w/c/bhafqepjhqg4ggcg84sw0g0wc.jpg
1341,Framus FP 14 M VS,31990,Пластик,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/6uv/ysk/gg0/fc4/cs0/w4s/w4g/s8o/k/6uvyskgg0fc4cs0w4sw4gs8ok.jpg
1342,Framus FD 14 M NS CE 12,32990,Пластик,Акустические гитары,Framus,https://www.muztorg.ru/files/sized/f250x250/e9v/7xd/km6/rwo/so0/wc8/sc0/884/o/e9v7xdkm6rwoso0wc8sc0884o.jpg
1343,FENDER FA-135 Concert All-Mahogany Natural,25500,Дуб,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/f2z/8m1/c8v/1ko/4g4/ok4/gwg/g4w/k/f2z8m1c8v1ko4g4ok4gwgg4wk.jpg
1344,FENDER FA-135CE Concert Sunburst,36000,Сосна,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/4r7/o41/yc0/dq8/cco/4c8/w4w/0oo/8/4r7o41yc0dq8cco4c8w4w0oo8.jpg
1345,FENDER CD-60SCE Black,43000,Липа,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/a9q/04o/xuk/psg/ks8/owk/ggg/gc0/8/a9q04oxukpsgks8owkggggc08.jpg
1346,FENDER FA-135 Concert Natural,25500,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/8h9/gw3/u19/1ss/oko/wk0/skk/gso/8h9gw3u191ssokowk0skkgso0.jpg
1347,FENDER CD-140SCE Mahogany,60000,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/8ru/mrs/be7/i80/40c/8k8/0ks/cgk/g/8rumrsbe7i8040c8k80kscgkg.jpg
1348,FENDER FA-125CE Natural,31000,Пластик,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/xxs/m6h/ezk/ysw/40s/scw/css/ck0/xxsm6hezkysw40sscwcssck0.jpg
1349,DAVINCI DF-70A NA,3640,Липа,Акустические гитары,DAVINCI,https://www.muztorg.ru/files/sized/f250x250/f3k/kq7/8fa/og8/kwk/4o8/oow/k0k/c/f3kkq78faog8kwk4o8oowk0kc.jpeg
1350,DAVINCI DF-70A BK,3640,Клен,Акустические гитары,DAVINCI,https://www.muztorg.ru/files/sized/f250x250/1sv/v7j/l71/f6s/0ko/o0w/oco/840/w/1svv7jl71f6s0koo0woco840w.jpeg
1351,PEAVEY DW 2,21650,Пластик,Акустические гитары,PEAVEY,https://www.muztorg.ru/files/sized/f250x250/ecu/yrz/0pz/20w/wkk/okg/0sg/o04/o/ecuyrz0pz20wwkkokg0sgo04o.jpg
1352,BATON ROUGE X85S/OM-COB,48990,Дуб,Акустические гитары,BATON,https://www.muztorg.ru/files/sized/f250x250/1xs/h0m/ux1/a4g/8s8/wc0/084/0kc/w/1xsh0mux1a4g8s8wc00840kcw.jpg
1353,BATON ROUGE X11LS/D-W-SCC,14990,Яблоня,Акустические гитары,BATON,https://www.muztorg.ru/files/sized/f250x250/8od/d6k/luj/7k0/g88/ocs/g4w/888/w/8odd6kluj7k0g88ocsg4w888w.jpg
1354,BATON ROUGE X11S/SD-BT,28990,Яблоня,Акустические гитары,BATON,https://www.muztorg.ru/files/sized/f250x250/6hk/22i/m8t/wcg/kgk/wk4/8c0/kko/6hk22im8twcgkgkwk48c0kko0.jpg
1355,BATON ROUGE X11LS/F-SCC,14990,Сосна,Акустические гитары,BATON,https://www.muztorg.ru/files/sized/f250x250/by0/h6k/im6/7wc/w88/g4c/48k/g8g/k/by0h6kim67wcw88g4c48kg8gk.jpg
1356,BATON ROUGE X11S/SD-COB,27990,Клен,Акустические гитары,BATON,https://www.muztorg.ru/files/sized/f250x250/4xd/jx8/5xb/beo/80k/c4o/w0w/kk0/4/4xdjx85xbbeo80kc4ow0wkk04.jpg
1357,BATON ROUGE X11LM/F-MB,14990,Клен,Акустические гитары,BATON,https://www.muztorg.ru/files/sized/f250x250/eph/agf/qip/m8s/gws/8o4/k0w/g40/s/ephagfqipm8sgws8o4k0wg40s.jpg
1358,BATON ROUGE AR21C/A,22500,Ольха,Акустические гитары,BATON,https://www.muztorg.ru/files/sized/f250x250/5yj/2ry/1on/1gk/g40/gkc/css/cos/k/5yj2ry1on1gkg40gkccsscosk.jpg
1359,CORT Gold-D8-WCASE-NAT Gold Series,61820,Орех,Акустические гитары,CORT,https://www.muztorg.ru/files/sized/f250x250/8pg/jvq/cw7/7k0/44o/4o0/s00/4kk/k/8pgjvqcw77k044o4o0s004kkk.jpg
1360,CORT Earth70-LH-OP Earth Series,24920,Дуб,Акустические гитары,CORT,https://www.muztorg.ru/files/sized/f250x250/5g0/1op/4ni/s08/k4s/c4k/8k0/80k/w/5g01op4nis08k4sc4k8k080kw.jpg
1361,CORT Core-OC-AMH-OPBB Core Series,44420,Яблоня,Акустические гитары,CORT,https://www.muztorg.ru/files/sized/f250x250/blp/ix0/8mu/r4s/og8/0sw/co0/kkk/blpix08mur4sog80swco0kkk0.jpg
1362,CORT GOLD-D6-WCASE-NAT Gold Series,53680,Пластик,Акустические гитары,CORT,https://www.muztorg.ru/files/sized/f250x250/4at/2fi/u2e/4sg/488/c4k/soc/gok/g/4at2fiu2e4sg488c4ksocgokg.jpg
1363,DAVINCI DF-50A NP,3960,Дуб,Акустические гитары,DAVINCI,https://www.muztorg.ru/files/sized/f250x250/d0t/eot/02n/o08/o0w/4g0/w8o/8gs/8/d0teot02no08o0w4g0w8o8gs8.jpg
1364,MARTIN ROMAS MR-441 SB,4911,Пластик,Акустические гитары,MARTIN,https://www.muztorg.ru/files/sized/f250x250/eiz/fs3/i1j/dsk/wcw/o8c/w0g/oog/o/eizfs3i1jdskwcwo8cw0googo.jpg
1365,MARTIN ROMAS MR-441 BLS,4911,Орех,Акустические гитары,MARTIN,https://www.muztorg.ru/files/sized/f250x250/5h6/1zr/045/asc/wok/k0w/48g/080/5h61zr045ascwokk0w48g080.jpg
1366,KEPMA F1-OM Natural,49900,Орех,Акустические гитары,KEPMA,https://www.muztorg.ru/files/sized/f250x250/1un/51a/b4b/clc/88s/o8c/44o/ss0/c/1un51ab4bclc88so8c44oss0c.jpg
1367,FENDER CD-60 Black,20290,Клен,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/2qg/6aw/373/m04/k4s/wck/0c8/g4w/s/2qg6aw373m04k4swck0c8g4ws.jpg
1368,Cort AF510-BKS Standard Series,13160,Яблоня,Акустические гитары,Cort,https://www.muztorg.ru/files/sized/f250x250/f4p/miv/2im/jso/0c8/cc0/k08/g80/4/f4pmiv2imjso0c8cc0k08g804.jpeg
1369,MiLena Music ML-DT-N,19350,Береза,Акустические гитары,MiLena,https://www.muztorg.ru/files/sized/f250x250/esn/2vo/wdj/lcs/0wg/00w/wko/o40/g/esn2vowdjlcs0wg00wwkoo40g.jpg
1370,MiLena Music ML-Fingerstyle,19010,Яблоня,Акустические гитары,MiLena,https://www.muztorg.ru/files/sized/f250x250/7g6/ngu/5ur/280/4wk/8oo/0gg/0ko/g/7g6ngu5ur2804wk8oo0gg0kog.jpg
1371,Ovation CE44-4 Celebrity Elite Mid Cutaway Natural,57990,Сосна,Акустические гитары,Ovation,https://www.muztorg.ru/files/sized/f250x250/3t7/jvz/deb/wsg/ogs/8gk/kk4/w88/o/3t7jvzdebwsgogs8gkkk4w88o.jpg
1372,COLOMBO LF - 3800 CT / GS,6820,Ольха,Акустические гитары,COLOMBO,https://www.muztorg.ru/files/sized/f250x250/8zp/riw/hg3/9wc/kk8/kck/8ow/wos/w/8zpriwhg39wckk8kck8owwosw.jpg
1373,Cort GA5F-MD-NAT Grand Regal Series,41310,Сосна,Акустические гитары,Cort,https://www.muztorg.ru/files/sized/f250x250/w9h/zey/fgf/tc8/w00/gcg/ogo/808/w9hzeyfgftc8w00gcgogo808.jpeg
1374,Fabio 3917 BK,9575,Сосна,Акустические гитары,Fabio,https://www.muztorg.ru/files/sized/f250x250/9de/v40/2ua/bk0/g8c/004/ok8/w40/c/9dev402uabk0g8c004ok8w40c.jpg
1375,TERRIS TF-380A NA,5210,Клен,Акустические гитары,TERRIS,https://www.muztorg.ru/files/sized/f250x250/7b8/j09/9st/pgk/ws0/wwo/gs0/88s/g/7b8j099stpgkws0wwogs088sg.jpg
1376,ARIA-231 N,22491,Пластик,Акустические гитары,ARIA-231,https://www.muztorg.ru/files/sized/f250x250/7pg/ghc/lt7/xwc/s4g/84s/sc0/84c/8/7pgghclt7xwcs4g84ssc084c8.jpg
1377,FENDER CD-60S Natural,22680,Береза,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/2rp/kok/xui/58g/gcw/04k/484/cg0/k/2rpkokxui58ggcw04k484cg0k.jpg
1378,FENDER CD-60 Natural,21900,Ольха,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/5tz/ng5/xpf/ows/k0g/gso/04c/0og/c/5tzng5xpfowsk0ggso04c0ogc.jpg
1379,LAVA ME 2 FreeBoost Black,71000,Дуб,Акустические гитары,LAVA,https://www.muztorg.ru/files/sized/f250x250/8ch/s9v/scd/wkk/4ww/owg/cc0/g0g/c/8chs9vscdwkk4wwowgcc0g0gc.png
1380,IBANEZ VC50NJP-NT,17700,Пластик,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/4jp/d1q/lg8/pog/08g/s88/g48/o8o/c/4jpd1qlg8pog08gs88g48o8oc.jpg
1381,EPIPHONE Starling Ebony,20160,Клен,Акустические гитары,EPIPHONE,https://www.muztorg.ru/files/sized/f250x250/3a7/dkh/2zz/yio/ssc/cgs/k08/o08/o/3a7dkh2zzyiossccgsk08o08o.jpg
1382,IBANEZ AC340-OPN,28100,Береза,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/2cu/aob/1be/074/8w8/gwo/8og/cwc/4/2cuaob1be0748w8gwo8ogcwc4.jpg
1383,FENDER CD-60SCE Black,43000,Сосна,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/a9q/04o/xuk/psg/ks8/owk/ggg/gc0/8/a9q04oxukpsgks8owkggggc08.jpg
1384,ROCKDALE Folk Novel F1BK,7700,Махонь,Акустические гитары,ROCKDALE,https://www.muztorg.ru/files/sized/f250x250/3gl/wmq/nwv/4kk/ooo/cw4/ck4/okc/8/3glwmqnwv4kkooocw4ck4okc8.jpg
1385,FENDER SQUIER SA-105CE,16700,Дуб,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/eal/0qr/83d/uok/0kw/0wc/gcc/co0/c/eal0qr83duok0kw0wcgccco0c.jpg
1386,ROCKDALE Aurora D1 C RB,7700,Махонь,Акустические гитары,ROCKDALE,https://www.muztorg.ru/files/sized/f250x250/6dq/f0v/ky4/zgg/oww/g0w/gs4/cog/g/6dqf0vky4zggowwg0wgs4cogg.jpg
1387,FENDER SQUIER SA-105CE,16700,Ольха,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/9v0/dax/5wz/s8o/wko/gkk/0sg/cg4/c/9v0dax5wzs8owkogkk0sgcg4c.jpg
1388,IBANEZ TCM50-GBO,32000,Клен,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/18j/fmx/6h0/8ck/gww/00o/cks/cok/k/18jfmx6h08ckgww00ockscokk.jpg
1389,FENDER CC-60SCE Black,43000,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/74g/hsj/3e0/j0o/w4s/0cc/og4/8sg/g/74ghsj3e0j0ow4s0ccog48sgg.jpg
1390,MARTINEZ W - 124 BC / N,14810,Ольха,Акустические гитары,MARTINEZ,https://www.muztorg.ru/files/sized/f250x250/7xc/2kd/o2w/4w8/oow/8o8/goo/wc4/c/7xc2kdo2w4w8oow8o8goowc4c.jpg
1391,FENDER CD-140SCE Natural,60000,Дуб,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/76f/b2a/wes/n0g/c4c/cgw/0k0/0w4/g/76fb2awesn0gc4ccgw0k00w4g.jpg
1392,Taylor 214ce,176000,Дуб,Акустические гитары,Taylor,https://www.muztorg.ru/files/sized/f250x250/40x/rwp/qyu/bk0/0gw/g80/8ks/skc/k/40xrwpqyubk00gwg808ksskck.jpg
1393,FENDER CD-60S Mahogany,25200,Клен,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/cbo/h1e/39a/mo8/w8w/88g/gk8/woo/w/cboh1e39amo8w8w88ggk8woow.jpg
1394,FENDER CD-60SCE Mahogany,43000,Яблоня,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/61r/kos/fod/wkk/4sc/ogk/k4g/8g8/61rkosfodwkk4scogkk4g8g80.jpg
1395,FENDER CD-60SCE Natural,43000,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/a3v/9yp/02m/aog/k8s/s4o/wc0/084/8/a3v9yp02maogk8ss4owc00848.jpg
1396,FENDER SQUIER SA-105CE Black,18400,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/342/0q6/n3p/akg/oco/kwc/gkg/44c/3420q6n3pakgocokwcgkg44c0.jpg
1397,FENDER FA-125 Sunburst,18000,Липа,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/1le/qe7/pgx/f6s/0s0/w40/og4/84s/w/1leqe7pgxf6s0s0w40og484sw.jpg
1398,IBANEZ AW65ECE-LG,42000,Махонь,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/5iq/7vg/na4/qsk/o4w/0ok/8k0/444/k/5iq7vgna4qsko4w0ok8k0444k.png
1399,FENDER FA-125CE Sunburst,26600,Сосна,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/10c/rwf/rhh/ub4/okc/wok/os8/84g/g/10crwfrhhub4okcwokos884gg.jpg
1400,LAVA ME 2 E-Acoustic Black,55250,Сосна,Акустические гитары,LAVA,https://www.muztorg.ru/files/sized/f250x250/bzy/jzo/j82/t4w/8ks/sos/40w/sog/k/bzyjzoj82t4w8kssos40wsogk.png
1401,MARTINEZ FAW - 801 CEQ,13470,Махонь,Акустические гитары,MARTINEZ,https://www.muztorg.ru/files/sized/f250x250/dqt/2me/7fs/g84/8oc/888/gg4/ows/k/dqt2me7fsg848oc888gg4owsk.jpg
1402,FENDER CC-60S Sunburst,25200,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/4g4/5xh/asw/q2o/00o/gkw/g44/sgk/w/4g45xhaswq2o00ogkwg44sgkw.jpg
1403,YAMAHA APXT2OVS,55890,Дуб,Акустические гитары,YAMAHA,https://www.muztorg.ru/files/sized/f250x250/5mr/v68/za2/a04/k4k/80w/cok/ow8/s/5mrv68za2a04k4k80wcokow8s.jpg
1404,Sigma GMC-STE-BKB,50900,Липа,Акустические гитары,Sigma,https://www.muztorg.ru/files/sized/f250x250/cjh/q5z/zzg/fks/44g/o0c/ckk/4cw/s/cjhq5zzzgfks44go0cckk4cws.jpg
1405,IBANEZ AEG50-BK,35000,Махонь,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/h5b/il6/a3y/ego/ko0/wgw/wk8/00c/h5bil6a3yegoko0wgwwk800c.jpg
1406,LAVA ME 3 36' Space Gray,122000,Яблоня,Акустические гитары,LAVA,https://www.muztorg.ru/files/sized/f250x250/e60/x5z/rhm/m0w/w8s/88g/os0/gko/g/e60x5zrhmm0ww8s88gos0gkog.jpg
1407,LAVA ME PRO Grey,133000,Орех,Акустические гитары,LAVA,https://www.muztorg.ru/files/sized/f250x250/c4b/oiv/qm1/hws/4sk/csk/0s4/8sg/4/c4boivqm1hws4skcsk0s48sg4.png
1408,FENDER Redondo Player Jetty Black,55000,Клен,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/63z/v9t/8os/jok/og0/8wo/sw0/o0s/63zv9t8osjokog08wosw0o0s0.jpg
1409,IBANEZ V54NJP-OPN,16700,Сосна,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/ccx/qiq/3yt/1s8/s0g/cs8/s4o/8s0/4/ccxqiq3yt1s8s0gcs8s4o8s04.jpg
1410,ENYA EA-X1EQ+,29900,Клен,Акустические гитары,ENYA,https://www.muztorg.ru/files/sized/f250x250/3hv/72x/0ra/0ow/gc4/00k/wg0/ck4/k/3hv72x0ra0owgc400kwg0ck4k.jpg
1411,ENYA ED-X1+,23900,Орех,Акустические гитары,ENYA,https://www.muztorg.ru/files/sized/f250x250/4ft/zr2/3ot/1k4/k8k/k44/w48/4ss/c/4ftzr23ot1k4k8kk44w484ssc.jpg
1412,FENDER CP-60S Parlor Sunburst,25200,Дуб,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/av8/z8p/kgm/yo0/kk8/8sk/sgs/w8k/g/av8z8pkgmyo0kk88sksgsw8kg.jpg
1413,TAYLOR Academy 12 Academy Series; Layered Sapele; Sitka Spruce Top; Grand Concert,94000,Яблоня,Акустические гитары,TAYLOR,https://www.muztorg.ru/files/sized/f250x250/ak2/hu3/6qf/688/go8/owk/s40/4kc/o/ak2hu36qf688go8owks404kco.jpg
1414,LAG T70A,23800,Пластик,Акустические гитары,LAG,https://www.muztorg.ru/files/sized/f250x250/br0/yrl/jpy/ooc/wcs/ogg/8sk/o00/c/br0yrljpyoocwcsogg8sko00c.jpeg
1415,ROCKDALE Aurora D1 N,7700,Махонь,Акустические гитары,ROCKDALE,https://www.muztorg.ru/files/sized/f250x250/1ew/kib/ioz/zdw/440/o4c/0sw/w44/o/1ewkibiozzdw440o4c0sww44o.jpg
1416,Belucci BC3810 N,3124,Береза,Акустические гитары,Belucci,https://www.muztorg.ru/files/sized/f250x250/9ld/ore/xfq/884/gc8/wc4/c08/ggc/c/9ldorexfq884gc8wc4c08ggcc.jpg
1417,Ovation CE44P-8TQ Celebrity Elite Plus Mid Cutaway Blue Transparent Quilt,64790,Яблоня,Акустические гитары,Ovation,https://www.muztorg.ru/files/sized/f250x250/cl9/yx2/079/jww/gsc/oko/0wc/oco/c/cl9yx2079jwwgscoko0wcococ.jpg
1418,FENDER Acoustasonic Stratocaster Natural,308000,Орех,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/8rz/dfx/56q/ko4/c4w/400/o44/gk4/8rzdfx56qko4c4w400o44gk40.jpg
1419,IBANEZ PC12MH OPN AC. GUITAR,20300,Береза,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/2i3/ltu/zl0/h0k/g0c/skk/0gw/k0w/w/2i3ltuzl0h0kg0cskk0gwk0ww.png
1420,MARTINEZ FAW - 702 / WH,9790,Пластик,Акустические гитары,MARTINEZ,https://www.muztorg.ru/files/sized/f250x250/dfx/f44/77v/p4w/sck/4o8/8cg/w8c/c/dfxf4477vp4wsck4o88cgw8cc.jpg
1421,Ovation CS24C-4 Celebrity Standard Mid Cutaway Natural,52380,Сосна,Акустические гитары,Ovation,https://www.muztorg.ru/files/sized/f250x250/b6n/9uh/zoa/rwo/ok0/ks0/ook/wo4/g/b6n9uhzoarwook0ks0ookwo4g.jpg
1422,FENDER Malibu Player Arctic Gold,55000,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/6pi/100/19t/asc/kg0/4s4/gkk/ow8/g/6pi10019tasckg04s4gkkow8g.jpg
1423,Elitaro E4010 WH,4844,Пластик,Акустические гитары,Elitaro,https://www.muztorg.ru/files/sized/f250x250/3py/vfw/beo/7qc/kk0/sgc/wos/cgw/8/3pyvfwbeo7qckk0sgcwoscgw8.jpg
1424,LAVA ME 2 E-Acoustic Blue,65000,Пластик,Акустические гитары,LAVA,https://www.muztorg.ru/files/sized/f250x250/as4/b5j/57l/v4s/s08/c84/owg/400/o/as4b5j57lv4ss08c84owg400o.png
1425,FENDER SQUIER SA-105CE,16700,Ольха,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/8yv/2yo/u9t/oo4/oc4/cg8/8os/o8s/g/8yv2you9too4oc4cg88oso8sg.jpg
1426,FENDER CD-140SCE Natural,60000,Махонь,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/r1p/hzr/val/z4w/oko/wg8/kgw/sko/r1phzrvalz4wokowg8kgwsko.jpg
1427,GT Urban Ash,190500,Орех,Акустические гитары,GT,https://www.muztorg.ru/files/sized/f250x250/alw/w95/qwb/a8g/04w/40g/kwc/4cc/g/alww95qwba8g04w40gkwc4ccg.jpg
1428,IBANEZ V50NJP-NT,17700,Дуб,Акустические гитары,IBANEZ,https://www.muztorg.ru/files/sized/f250x250/8lv/1yx/zi4/nk8/wkg/g4w/csg/c0c/g/8lv1yxzi4nk8wkgg4wcsgc0cg.jpg
1429,FENDER CD-140SCE Sunburst,60000,Яблоня,Акустические гитары,FENDER,https://www.muztorg.ru/files/sized/f250x250/4yr/yey/vca/nsw/g8c/sw8/g0s/g84/8/4yryeyvcanswg8csw8g0sg848.jpg
1430,GUILD D-260CE Deluxe,49600,Липа,Акустические гитары,GUILD,https://www.muztorg.ru/files/sized/f250x250/563/1lf/0hh/nwo/0c4/ckc/08g/848/8/5631lf0hhnwo0c4ckc08g8488.jpg
1431,TAYLOR BTe-Koa,94000,Сосна,Акустические гитары,TAYLOR,https://www.muztorg.ru/files/sized/f250x250/3sc/kow/tui/msk/4w8/w04/44w/cws/s/3sckowtuimsk4w8w0444wcwss.jpg
1432,AD17e; Natural Top,287000,Махонь,Акустические гитары,AD17e;,https://www.muztorg.ru/files/sized/f250x250/7vc/z66/pdt/0so/4so/k4s/cgg/sog/4/7vcz66pdt0so4sok4scggsog4.jpg
